ProductSku,Group,ProductName,Brand,PackSize,LastOrderDate
SW88010,Produce (Fresh),Lemons,Packer,18 x 2 LB Case,9/3/2025
1109140,Produce (Fresh),Fresh Lime,Packer,1x2 LB Case,9/3/2025
SW88180,Produce (Fresh),Ginger Root,Packer,1x5 LB Case,9/3/2025
SW88530,Produce (Fresh),Garlic,Packer,48 x 5 Count Case,9/3/2025
SW27340,Produce (Fresh),Thai Red Peppers,Packer,1x8 Oz Case,9/3/2025
SW49460,Produce (Fresh),Cilantro Microgreens,Flavour Fields,1x4 Oz Case,9/3/2025
SW88580,Produce (Fresh),Shallots,Packer,8x5 LB BC,9/3/2025
SW28800,Produce (Fresh),Bagged Idaho Potatoes,Packer,10x5 LB BC,
SW88690,Produce (Fresh),Vidalia Onions,Packer,12 x 3 LB Case,9/3/2025
SW88410,Produce (Fresh),Spanish Onions,Packer,5x10 LB BC,
SW88230,Produce (Fresh),Royal Gala Apples,Packer,8x5LB BC,
10861859,Produce (Fresh),Apple Blossoms,Flavour Fields,1x50 Count Case,
SW40150,Produce (Fresh),Chives,Packer,1x4 Oz Case,9/3/2025
1100682,Produce (Fresh),Salty Fingers,Flavour Fields,1x50 Count Case,
SW13460,Produce (Fresh),Anise Fennel,Packer,1x3 Count Case,9/3/2025
SW88310,Produce (Fresh),Shishito Peppers,Packer,1x5 LB Case,
SW17610,Produce (Fresh),Cut Carrots,Packer,10x5 LB BC,9/3/2025
SW88560,Produce (Fresh),Fresh Mushroom Med,Packer,12x8 Oz BC,
SW24460,Produce (Fresh),Crimini Mushrooms,Packer,5 LB Case,
SW30700,Produce (Fresh),Scallion Green Onion,Packer,4x12 Count BC,
SW14370,Produce (Fresh),Baby Bunched Golden Beets,Packer,1x12 Count Case,9/3/2025
SW88240,Produce (Fresh),Green Seedless Grapes,Packer,10x2 LB BC,
SW88130,Produce (Fresh),Red Seedless Grapes,Packer,10x2 LB BC,
1096407,Produce (Fresh),Muscato Green Grapes,Packer,10x2 LB BC,
1096408,Produce (Fresh),Muscato Red Grapes,Packer,10x2 LB BC,
SW40500,Produce (Fresh),Rosemary,Packer,4 Oz Case,9/3/2025
SW88630,Produce (Fresh),Ripe Pineapples,Packer,1x3 Count Case,
SW40830,Produce (Fresh),Cut Top Basil,Packer,1x4 Oz Case,9/3/2025
SW81890,Produce (Fresh),Red Cabbage,Packer,1x3 Count Case,9/3/2025
SW18930,Produce (Fresh),Fresh Celery,Packer,1x3 Count Case,
SW40700,Produce (Fresh),Thyme,Packer,4 Oz Case,
SW40070,Produce (Fresh),Fresh Bay Leaves,Packer,1x4 Oz Case,9/3/2025
SW38280,Produce (Fresh),Dijon Mustard Micro Greens,Packer,1x4 Oz Case,
SW39920,Produce (Fresh),"Hydroponic Firecracker Mizuna, Local",Lakeville Specialty,1x1 TRAY Case,
SW40670,Produce (Fresh),Tarragon,Packer,4 Oz Case,
10364326,"Dry Storage / Pantry ",DOP San Marzano Whole Peeled Tomatoes,La Valle,6 x 3 KG Case,9/3/2025
100084,"Dry Storage / Pantry ",Dop San Marzano Tomatoes,La Valle,12x28 Oz Case,
GP799,"Dry Storage / Pantry ",Hardwood Lump Charcoal,Charbon De Bois Fran,8 KG Case,
SW332450,"Dry Storage / Pantry ",Mirin Rice Wine,Packer,12x10 Oz BC,9/3/2025
109803,"Dry Storage / Pantry ",PALM SUGAR,Bell and Flower,12x2.2 LB BC,
103605,"Dry Storage / Pantry ",Fish Sauce,Three Crabs,12 x 24 Oz Case,
SW107910,"Dry Storage / Pantry ",Ras El Hanout,Jansal Valley,6x16 Oz BC,
BC701701N,"Dry Storage / Pantry ",Grapeseed Oil,Spoleto,4 x 3 L Case,
GO127,"Dry Storage / Pantry ",Canola Oil,Packer,6x1 Gallon Case,
GO196,"Dry Storage / Pantry ",10% Olive and Canola Oil Blend,Spoleto,6x1 Gallon BC,
BC800104A,"Dry Storage / Pantry ",Greek Extra Virgin Olive Oil,Aria,4 x 3 L Case,
GV332DS,"Dry Storage / Pantry ",Red Wine Vinegar,Delouis,2 x 5 L Case,9/3/2025
GS420,"Dry Storage / Pantry ",Extra Fine Granulated Cane Sugar,Domino,50 LB Case,
SPS135N,"Dry Storage / Pantry ",Kosher Salt,Diamond Crystal,9 x 3 LB Case,
912748,"Dry Storage / Pantry ",Matzo Ball Mix,Streits,12 x 4.5 Oz Case,
933739,"Dry Storage / Pantry ",Potato Starch,Bob's Red Mill,25 LB Case,
GS405,"Dry Storage / Pantry ",Dark Brown Sugar,Domino,24 x 1 LB Case,
GS406,"Dry Storage / Pantry ",Light Brown Sugar,Domino,24 x 1 LB Case,
SPC115,"Dry Storage / Pantry ",Fancy Ground Korintje Cinnamon,The Chefs' Warehouse,1x16 Oz Piece,
SPN100,"Dry Storage / Pantry ",Ground Nutmeg,The Chefs' Warehouse,16 Oz Piece,9/3/2025
SW109210,"Dry Storage / Pantry ",SPC GINGER POWDER,Jansal Valley,6x12 Oz BC,9/3/2025
GSR363,"Dry Storage / Pantry ",White Miso Paste,Marukome,10 x 1 KG Case,9/3/2025
924808,"Dry Storage / Pantry ",Tapioca Maltodextrin,Chef Rubber,500 Gram Piece,
921847,"Dry Storage / Pantry ",Maltodextrin,Pastry Star,1 LB Case,
927615,"Dry Storage / Pantry ",Ultratex 3 Tapioca Starch,Chef Rubber,400g Piece,
916283,"Dry Storage / Pantry ",Bread Marble Rye 3 Lb Sliced,Rockland Bakery,1x3 LB LOAF Piece,
SPT100,"Dry Storage / Pantry ",Tarragon Leaf,The Chefs' Warehouse,1x2 Oz Piece,9/3/2025
SPA116,"Dry Storage / Pantry ",Ground Allspice,The Chefs' Warehouse,1x16 Oz Piece,
10607391,"Dry Storage / Pantry ",Peeled Black Garlic,Calpac,6 x 1 LB Case,
10441619,"Dry Storage / Pantry ",Black Garlic Molasses,Calpac,6 x 200 mL Case,
10624167,"Dry Storage / Pantry ",Smooth Dijon Mustard,Grand Reserve,6 x 1 Gal Case,
GS115,"Dry Storage / Pantry ",Soy Sauce,Kikkoman,4x1 Gallon BC,
GV114,"Dry Storage / Pantry ",Nonpareil Capers,BelAria,12 x 32 Oz Case,
GV125,"Dry Storage / Pantry ",Cornichons,St Luc,9 LB Case,
10335752,"Dry Storage / Pantry ",Kettle Cooked Potato Chips,Cape Cod,9 x 14 Oz Case,
10498842,"Dry Storage / Pantry ",Extra Virgin Olive Oil Potato Chips,Torres,20 x 50 Gram Case,
10505491,"Dry Storage / Pantry ",Torres Salted Potato Chips,Torres,20x50 GR Case,
GS157,"Dry Storage / Pantry ",Worcestershire Sauce,Lea Perrins,3 x 1 Gal Case,
GS151,"Dry Storage / Pantry ",Tabasco Sauce,Tabasco,12 x 5 Oz Case,9/3/2025
VN140654,"Dry Storage / Pantry ",Tabasco Sauce,Tabasco,4 x 1 Gal Case,
2I058,"Dry Storage / Pantry ",24-Month Parmesan Reggiano 1/8 Wheel,Mitica,2 x 10 LB Case,
10513758,"Dry Storage / Pantry ",Grated Parmigiano Reggiano,Cello,6x5 LB BC CW,
SPG115,"Dry Storage / Pantry ",Garlic Powder,The Chefs' Warehouse,1x16 Oz Piece,
GF215,"Dry Storage / Pantry ",Japanese Bread Crumbs,Golden Dipt,1x25 LB Case,9/3/2025
BC109508,"Dry Storage / Pantry ",Balsamic Vinegar,BelAria,2 x 5 L Case,
